Designator,Mid X,Mid Y,Rotation,Layer
C1,133.6548,-61.8236,90.0,top
C10,144.9832,-107.7976,180.0,top
C20,138.042,-129.286,0.0,top
C21,138.042,-134.874,0.0,top
C22,138.042,-137.668,0.0,top
C23,138.042,-147.5951,0.0,top
C24,138.042,-144.8011,0.0,top
C25,138.042,-132.08,0.0,top
C3,123.2408,-100.3046,180.0,top
C4,133.35,-100.299,180.0,top
C5,145.2626,-119.507,180.0,top
C6,146.05,-109.7534,270.0,top
C7,143.0248,-77.3176,0.0,top
C8,131.5212,-88.5444,0.0,top
C9,147.447,-109.7534,90.0,top
D1,131.6736,-77.597,0.0,top
D2,151.7904,-56.896,270.0,top
D3,139.242,-151.1808,180.0,top
D4,139.287,-141.224,0.0,top
D5,139.287,-125.73,0.0,top
FB1,141.859,-130.048,90.0,top
FB2,141.859,-136.906,270.0,top
FB3,141.9352,-146.9644,270.0,top
J1,149.987,-147.32,180.0,top
J2,140.696,-65.725,180.0,bottom
J3,128.651,-113.625,90.0,bottom
J5,127.381,-83.185,90.0,bottom
J6,128.778,-125.73,0.0,top
J7,141.986,-58.547,180.0,top
Q1,131.7498,-72.8218,270.0,top
R1,148.717,-109.7534,90.0,top
R2,144.9832,-106.5276,180.0,top
R21,140.589,-117.856,90.0,top
R22,140.589,-108.3173,90.0,top
R23,141.8844,-86.7664,180.0,top
R24,133.6548,-65.0748,90.0,top
R25,141.224,-76.8096,270.0,top
R26,131.2164,-79.6036,0.0,top
R27,133.223,-75.692,180.0,top
R28,140.081,-119.634,0.0,top
R29,150.497,-108.8644,0.0,top
R30,143.256,-108.3056,90.0,top
R31,123.6726,-98.2726,270.0,top
R32,122.3518,-103.4796,270.0,top
R33,133.35,-101.5492,0.0,top
R34,132.842,-98.2746,270.0,top
R35,150.497,-110.2614,180.0,top
R36,142.748,-110.109,0.0,top
R37,122.428,-97.2566,270.0,top
R38,123.5992,-103.4796,90.0,top
R39,132.8928,-103.4796,90.0,top
R40,134.0358,-97.2546,270.0,top
RPI1,118.925,-52.665,0.0,top
U1,146.812,-56.9468,180.0,top
U2,128.381,-90.7542,270.0,top
U3,146.05,-114.8842,0.0,top
U4,128.268,-100.299,270.0,top
U5,143.1544,-82.042,0.0,top
